flower_binary,fruit_binary,year,day_of_the_year,dbh_cm,height_m
,,2020,169,,4
,,2020,179,,12
,,2020,183,,8
,,2020,183,,8
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,223,,
,,2020,238,,13.5
,,2020,239,,7
,,2020,239,,
,,2020,239,,
,1,2020,253,,14.5
,1,2020,253,,18
,1,2020,253,,14.5
,1,2020,253,,4
,,2020,281,,9
,,2020,281,,10
,,2020,281,,10
,,2020,304,,
,,2020,316,,4.5
,,2020,316,,15
,,2020,316,,9
0,0,2020,329,,
,,2020,336,,
,,2020,338,,12
,1,2020,342,,
,,2020,344,,15
,,2020,344,,5
,,2020,345,,12
,,2020,345,,
,,2020,345,,
,1,2020,345,,
,,2020,345,,
,,2020,345,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,351,,
,,2020,352,,
,,2020,352,,
,,2021,6,,9
,,2021,6,,11
,,2021,6,,10
,,2021,6,,10
,,2021,8,,4
,,2021,20,,
,,2021,20,,
1,,2021,21,,
1,,2021,21,,
,,2021,22,,
,,2021,22,,18
,,2021,22,,
,,2021,27,,
,,2021,27,,15
,,2021,27,,13
,,2021,27,,13
,,2021,27,,13
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,20
1,,2021,27,,
,,2021,27,,
,,2021,47,,
,,2021,47,,
,,2021,53,,
,,2021,53,,
0,0,2021,70,,9
,,2021,71,,
,,2021,76,,
,,2021,76,,10
,,2021,56,,
,,2021,88,,
,,2021,88,,
,,2021,88,,
,,2021,89,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,107,,
,,2021,107,,
,,2021,109,,6
,,2021,145,,8
,,2021,186,,12
,,2021,189,,8
,,2021,189,,13
,,2021,189,,9.5
,,2021,190,,11
,,2021,190,,15
,,2021,190,,10
,,2021,190,,12
,,2021,190,,
,,2021,190,,6
,,2021,84,,
,,2021,217,,16
,,2021,217,,6
,,2021,256,,6
,,2021,256,,7
,,2021,257,,7
,,2021,343,,
,,2022,61,,8
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,233,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,235,,
,,2018,236,,
,,2018,246,,
,,2018,246,,
,,2018,282,,14
,1,2018,297,,
,1,2019,35,,
,,2019,35,,
,,2019,35,,
,,2019,35,,
,1,2019,35,,
,1,2019,35,,
,,2019,35,,
,,2019,44,,
,,2019,44,,
,,2019,46,,
,,2019,51,,
,,2019,51,,
,,2019,53,,
,,2019,80,,
,,2019,108,,15
,,2019,108,,8
,,2019,108,,10
,,2019,108,,7
,,2019,113,,10
,,2019,113,,4
,,2019,113,,9
,,2019,113,,7
,,2019,113,,8
,,2019,114,,6
,,2019,114,,6
,,2019,114,,8
,,2019,141,,
,,2019,141,,
,,2019,141,,
,,2019,185,,
,,2019,185,,
,,2019,207,,
,,2019,213,,
,,2019,213,,
,,2019,213,,15
,,2019,213,,9
,,2019,213,,15
,,2019,225,,6
,,2019,225,,6
,,2019,225,,8
,,2019,225,,4
,,2019,225,,4
,,2019,260,,10
,,2019,260,,10
,,2019,315,,12
,,2019,315,,7
,,2019,315,,7
,,2019,318,,
,,2019,319,,
,,2019,319,,
,,2019,319,,
,,2019,332,,15
,,2019,333,,20
,,2019,333,,10
,,2019,337,,7
,,2019,338,,8
,,2020,66,,13
,,2020,79,,14
,,2020,87,,8
,,2020,87,,9
,,2020,135,,8
,,2020,135,,10
,,2020,135,,12
,,2020,135,,16
,,2020,135,,13
,,2020,135,,7
,,2020,135,,13
,,2020,135,,14
,,2020,135,,10
,,2020,135,,5
,,2020,135,,10
,,2020,135,,15
,,2020,135,,10
,,2020,149,,19
,,2020,156,,11
,,2020,156,,12
,,2020,156,,10
,,2020,157,,10
,,2020,157,,10
,,2020,157,,5
