persoonia_regen_height_m,max_tree_age_yrs
1.55,3.59726027397255
1.19,3.59726027397255
2.32,3.59726027397255
1.5,3.59726027397255
1.46,3.59726027397255
1.05,3.59726027397255
2.3,3.59726027397255
2.8,3.59726027397255
2.36,3.59726027397255
1.9,3.59726027397255
1.44,3.59726027397255
1.86,3.59726027397255
1.63,3.59726027397255
1.24,3.59726027397255
1.21,3.59726027397255
1.2,3.59726027397255
1.18,3.59726027397255
0.74,3.59726027397255
0.48,3.59726027397255
0.76,3.59726027397255
0.98,3.59726027397255
0.76,3.59726027397255
2.35,3.59726027397255
2.11,3.59726027397255
1.92,3.59726027397255
1.17,3.59726027397255
0.84,3.59726027397255
2.37,3.59726027397255
2.42,3.59726027397255
1.45,3.59726027397255
0.72,3.59726027397255
1.81,3.59726027397255
1.93,3.59726027397255
1.08,3.59726027397255
0.81,3.59726027397255
0.52,3.59726027397255
1,3.59726027397255
0.9,3.59726027397255
0.76,3.59726027397255
0.73,3.59726027397255
1.09,3.59726027397255
0.93,5.55890410958909
0.06,5.55890410958909
0.18,5.55890410958909
0.22,5.55890410958909
0.22,5.55890410958909
0.24,5.55890410958909
0.93,5.55890410958909
0.81,5.55890410958909
0.69,5.55890410958909
0.31,5.55890410958909
0.41,5.55890410958909
1.51,5.55890410958909
4,5.55890410958909
1.84,5.55890410958909
0.74,5.55890410958909
2.74,5.55890410958909
1.75,5.55890410958909
2.48,5.55890410958909
2.95,5.55890410958909
2.06,5.55890410958909
0.79,5.55890410958909
0.36,5.55890410958909
0.96,5.55890410958909
0.54,5.55890410958909
0.66,5.55890410958909
1.27,5.55890410958909
1.16,5.55890410958909
1.56,5.55890410958909
1.34,5.55890410958909
1.04,5.55890410958909
0.93,5.55890410958909
0.55,5.55890410958909
0.64,5.55890410958909
0.32,5.55890410958909
0.86,5.55890410958909
1.32,5.55890410958909
1.79,5.55890410958909
2.03,5.55890410958909
1.31,5.55890410958909
1.75,5.55890410958909
0.74,5.55890410958909
1.01,5.55890410958909
1.3,5.55890410958909
4.9,5.55890410958909
3.33,5.55890410958909
5.2,5.55890410958909
0.19,5.55890410958909
0.51,5.55890410958909
2.63,5.55890410958909
2.53,5.55890410958909
2.38,5.55890410958909
1.73,5.55890410958909
1.91,5.55890410958909
0.15,5.55890410958909
0.03,5.55890410958909
0.08,5.55890410958909
0.1,5.55890410958909
0.37,5.55890410958909
1.26,3.73698630137005
3.5,3.73698630137005
1.8,3.73698630137005
1.52,3.73698630137005
1.83,3.73698630137005
0.97,3.73698630137005
0.29,3.73698630137005
0.5,3.73698630137005
0.75,3.73698630137005
0.96,3.73698630137005
1.21,3.73698630137005
1.04,3.73698630137005
1.41,3.73698630137005
1.64,3.73698630137005
0.91,3.73698630137005
0.84,3.73698630137005
1.11,3.73698630137005
1.43,3.73698630137005
1.42,3.73698630137005
0.92,3.73698630137005
0.64,3.73698630137005
0.95,3.73698630137005
0.9,3.73698630137005
0.91,3.73698630137005
1.64,3.73698630137005
1.44,3.73698630137005
1.55,3.73698630137005
1.54,3.73698630137005
1.02,3.73698630137005
1.2,3.73698630137005
1.4,3.73698630137005
1.3,3.73698630137005
1.2,3.73698630137005
0.7,3.73698630137005
